m,n,volume/cm3,mass/g,vm_stress/mpa
1,1,128.5811984,102.196,129.8
1.016666667,0.833333333,117.0393866,95.906,133.9
1.05,1.033333333,133.0942185,104.756,134.5
1.083333333,1.086666667,137.450414,105.402,134.1
1.116666667,1.113333333,140.0571265,108.829,156.6
1.15,1.046666667,137.9826563,107.626,135.1
1.183333333,0.846666667,127.0785782,101.542,141.8
1.216666667,1.126666667,144.0091599,111.256,181.9
1.25,1.02,140.1336241,108.977,137.6
1.283333333,0.806666667,128.5226448,102.555,160.8
1.316666667,0.966666667,139.5539755,108.73,139.1
1.35,0.993333333,141.9020568,110.147,138.7
1.383333333,1.1,147.4419926,113.516,186.4
1.416666667,1.166666667,150.6438172,115.554,147.9
1.45,0.926666667,141.4012524,110.037,143.1
1.483333333,1.193333333,152.8530703,117.042,282
1.516666667,0.913333333,142.4813819,110.799,156.8
1.55,0.98,146.3675725,113.124,145.7
1.583333333,0.886666667,142.7921043,111.136,177.7
1.616666667,0.94,146.0708137,113.087,167.2
1.65,1.06,151.4773851,116.397,188
1.683333333,0.9,145.6708532,113.014,195.8
1.716666667,1.073333333,153.0583975,117.493,211.3
1.75,1.14,155.6244933,119.185,282.8
1.783333333,0.953333333,149.8419384,115.661,197.1
1.816666667,0.86,146.4712983,113.823,239.7
1.85,0.873333333,147.6813993,114.587,245.4
1.883333333,1.006666667,153.3718812,117.987,208.2
1.916666667,1.153333333,158.1439311,121.083,323.3
1.95,0.82,147.0263505,114.532,295.3
1.983333333,1.18,159.5457938,122.118,366.6
